SR.NO,PRODUCT CODE,PRODUCT NAME,SHORT NAME,B2B
182,SEZN,SERUM ZINC,SEZN,13.15
183,ALDOS,ALDOSTERONE,ALDOS,16.13
184,CHL,CHLORIDE,CHL,0.82
185,BASIC DIABETIC,BASIC DIABETIC,BD,24.34
186,AMYL,AMYLASE,AMYL,1.06
187,AC_G,CARDIOLIPIN ANTIBODY (ACL) -IGG,AC_G,36.5
188,CHS1M,HERPES SIMPLEX VIRUS I (HSV)-IGM,CHS1M,10.66
189,SYPHILIS,ANTI – SYPHILIS ANTIBODY,SYPHILIS,2.85
190,CPK,CPK,CPK,1.35
191,URINOGRAM,URINOGRAM,UROG,2.87
192,AHBE,ANTI HEPATITIS B ENVELOPE ANTIGEN (AHBE) -TOTAL,AHBE,7.59
193,HAVT,ANTI HEPATITIS A VIRUS (HAV) - TOTAL,HAVT,12.26
194,PROT,PROTEIN - TOTAL,PROT,0.45
195,AMH,ANTI MULLERIAN HORMONE (AMH),AMH,34.76
196,TIBC,TOTAL IRON BINDING CAPACITY (TIBC),TIBC,2.88
197,HEMOGRAM - 6 PART (DIFF),HEMOGRAM - 6 PART (DIFF),H6,2.9
